token_address,name,symbol,decimals,rpc_block_number,fetched_at,fetch_status,error_code
0x6752c739921d1c106cf602fe497dbe427e61ed19,Bonk,Bonk,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x68ef8c8bf88e7d057331352350f50214d8485c80,Bitici,BiTiCi,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x69627b7e0d9e74690c7489d5b829968dc15bdcde,Vitalik Shiba Buterin,VISH,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x6cbd6a5a0a72bb798481b06f8beb293d85210d81,AsteroShib.com,AsteroShib.com,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x7041f75762c01be8b1487c0a4ff120582ef4d545,Venture Capital for Vitalik's Chicks,VC,9,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x70c29e99ca32592c0e88bb571b87444bb0e08e33,The Martian Dog,MARVIN,9,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x74c00c26e0ace673313aebf749a1a9644eeefdea,SPURDO,SPURDO,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x76e46becff74f5f1d3ef96d7574230aeba73e5d8,YEE,YEE,2,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x7721b608107a29e5625a1495c3622d5b371725aa,alpha,ALPHA,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x77270657b92f4c55b7789937cd72d8e572de367e,SHIBY,SHIBY,8,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x7944a11f5cbdf824a7a989670cc6f75a52e02e31,Vitalik Super Turbo,8==================================D,9,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x7964b6a8ae5a71409e7e17a5b2669903a27997ac,PlayDoge,PLAY,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x79f5c3f25644a8be57146cd89ac763783d4ec0db,To Vitalik,VITALIK,9,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x7cfe836134589056ad6e1df303258a45f6bf27c6,Mochi,MOCHI,8,25510521,2026-07-11T16:19:22.180966+00:00,complete,
