chain_id,address,account_type,code_state,code_size_bytes,observation_block_number,observation_block_hash,observation_block_timestamp,finality_policy,eip7702_delegation_target,fetch_status,reason_code,evidence_schema_version,fetched_at
1,0x5777d92f208679db4b9778590fa3cab3ac9e2168,contract,contract_code,22142,25739638,0x4da5bc7004c57265498f2e88d86d65632b5c64c47f6143a2f1d7d6659a5fa834,2026-08-12T14:53:11Z,safe,,complete,contract_code_observed,account-evidence-v2,2026-08-12T15:03:35.371392Z
1,0x58e6c7ab55aa9012eacca16d1ed4c15795669e1c,contract,contract_code,171,25739638,0x4da5bc7004c57265498f2e88d86d65632b5c64c47f6143a2f1d7d6659a5fa834,2026-08-12T14:53:11Z,safe,,complete,contract_code_observed,account-evidence-v2,2026-08-12T15:03:35.371392Z
1,0x5e08981b66e7b0e1ca12140df8d94ac27bdd73df,contract,contract_code,171,25739638,0x4da5bc7004c57265498f2e88d86d65632b5c64c47f6143a2f1d7d6659a5fa834,2026-08-12T14:53:11Z,safe,,complete,contract_code_observed,account-evidence-v2,2026-08-12T15:03:35.371392Z
1,0x60594a405d53811d3bc4766596efd80fd545a270,contract,contract_code,22142,25739638,0x4da5bc7004c57265498f2e88d86d65632b5c64c47f6143a2f1d7d6659a5fa834,2026-08-12T14:53:11Z,safe,,complete,contract_code_observed,account-evidence-v2,2026-08-12T15:03:35.371392Z
1,0x61a3cf8788b65b4967a20523bbc56e651f0dd156,eoa_candidate,no_code,0,25739638,0x4da5bc7004c57265498f2e88d86d65632b5c64c47f6143a2f1d7d6659a5fa834,2026-08-12T14:53:11Z,safe,,complete,no_code_observed,account-evidence-v2,2026-08-12T15:03:35.371392Z
1,0x6c17830df079bf409d3da9731aae7e6b632ebfcd,eoa_candidate,no_code,0,25739638,0x4da5bc7004c57265498f2e88d86d65632b5c64c47f6143a2f1d7d6659a5fa834,2026-08-12T14:53:11Z,safe,,complete,no_code_observed,account-evidence-v2,2026-08-12T15:03:35.371392Z
1,0x6ed44e657f6b5d7f0f2199ac5b15b2f0e8986b47,eoa_candidate,no_code,0,25739638,0x4da5bc7004c57265498f2e88d86d65632b5c64c47f6143a2f1d7d6659a5fa834,2026-08-12T14:53:11Z,safe,,complete,no_code_observed,account-evidence-v2,2026-08-12T15:03:35.371392Z
1,0x7e976df1cc53fb950485705da7b6220fe21a4a65,eoa_candidate,no_code,0,25739638,0x4da5bc7004c57265498f2e88d86d65632b5c64c47f6143a2f1d7d6659a5fa834,2026-08-12T14:53:11Z,safe,,complete,no_code_observed,account-evidence-v2,2026-08-12T15:03:35.371392Z
1,0x81f62e5bf508ca4456363a0ef766b5c775b56fd2,eoa_candidate,no_code,0,25739638,0x4da5bc7004c57265498f2e88d86d65632b5c64c47f6143a2f1d7d6659a5fa834,2026-08-12T14:53:11Z,safe,,complete,no_code_observed,account-evidence-v2,2026-08-12T15:03:35.371392Z
1,0x840c57b24d0ef6030930be2b8b45d3e7a3aeb199,contract,contract_code,170,25739638,0x4da5bc7004c57265498f2e88d86d65632b5c64c47f6143a2f1d7d6659a5fa834,2026-08-12T14:53:11Z,safe,,complete,contract_code_observed,account-evidence-v2,2026-08-12T15:03:35.371392Z
1,0x8aff0d8f6c74c0a1b16e52a7855d9cbe0c1fe371,eoa_candidate,no_code,0,25739638,0x4da5bc7004c57265498f2e88d86d65632b5c64c47f6143a2f1d7d6659a5fa834,2026-08-12T14:53:11Z,safe,,complete,no_code_observed,account-evidence-v2,2026-08-12T15:03:35.371392Z
1,0x931896a8a9313f622a2afca76d1471b97955e551,contract,contract_code,170,25739638,0x4da5bc7004c57265498f2e88d86d65632b5c64c47f6143a2f1d7d6659a5fa834,2026-08-12T14:53:11Z,safe,,complete,contract_code_observed,account-evidence-v2,2026-08-12T15:03:35.371392Z
1,0x9c571af5eb3afd528acbca7b6c3bc95b57acef07,eoa_candidate,no_code,0,25739638,0x4da5bc7004c57265498f2e88d86d65632b5c64c47f6143a2f1d7d6659a5fa834,2026-08-12T14:53:11Z,safe,,complete,no_code_observed,account-evidence-v2,2026-08-12T15:03:35.371392Z
1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,contract,contract_code,2186,25739638,0x4da5bc7004c57265498f2e88d86d65632b5c64c47f6143a2f1d7d6659a5fa834,2026-08-12T14:53:11Z,safe,,complete,contract_code_observed,account-evidence-v2,2026-08-12T15:03:35.371392Z
1,0xa3509a16bbfc5992eb01cc861b615ccd8e937da8,contract,contract_code,11293,25739638,0x4da5bc7004c57265498f2e88d86d65632b5c64c47f6143a2f1d7d6659a5fa834,2026-08-12T14:53:11Z,safe,,complete,contract_code_observed,account-evidence-v2,2026-08-12T15:03:35.371392Z
1,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,contract,contract_code,11293,25739638,0x4da5bc7004c57265498f2e88d86d65632b5c64c47f6143a2f1d7d6659a5fa834,2026-08-12T14:53:11Z,safe,,complete,contract_code_observed,account-evidence-v2,2026-08-12T15:03:35.371392Z
1,0xa7ac9f7087d7197e0047db9a90562a1364bf897d,contract,contract_code,171,25739638,0x4da5bc7004c57265498f2e88d86d65632b5c64c47f6143a2f1d7d6659a5fa834,2026-08-12T14:53:11Z,safe,,complete,contract_code_observed,account-evidence-v2,2026-08-12T15:03:35.371392Z
