chain_id,block_number,block_hash,block_timestamp,transaction_hash,transaction_index,transaction_from_address,transaction_to_address,log_index,token_address,from_address,to_address,value_raw
1,15675549,0xa8bbd38cb27f6153bb17d562c7fd5ebad779020ec3783840bc2646607b2ee4c5,1664895947,0x64a1709d0d3103eb0c7caccdbd14af022383ea76c3a2b70a691a9768804c7fc0,147,0x1e10688dec7930269cf3328b1a3812fbc7b8a32e,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,260,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x1e10688dec7930269cf3328b1a3812fbc7b8a32e,0x11c24f0031b4c35e2e9353764edc61299291e0af,10002000000
1,15680285,0x77a057f8cd429f851527a13aa60a80f38eb2a1f0becb16aa47bf44f226bd88c7,1664953355,0x9e0f11d0c0ed479ac3d1ea70a7fde129f6094ffca3dd7d08b2dd46407d375c0d,129,0x552cfe6b693997861bc3bf2b479ecaae4ff9d004,0xcdbd4089c2f98da715e52127680f87afdb183a2e,2974,0xcdbd4089c2f98da715e52127680f87afdb183a2e,0x552cfe6b693997861bc3bf2b479ecaae4ff9d004,0x11c24f0031b4c35e2e9353764edc61299291e0af,113737000000000000000000
1,15688478,0x582b56de2dd9d931789a64fb7c12c8816afbb9ddf126a2d07722bc4acaf1f461,1665052235,0x93ffc267f45b916c80e8fd8173fbc1852883db512d11942c55131b204cd40a5f,58,0x4c18bd7117f0e694b0f4fdfe6a03f520ec5905c7,0x11c24f0031b4c35e2e9353764edc61299291e0af,89,0x6b175474e89094c44da98b954eedeac495271d0f,0x11c24f0031b4c35e2e9353764edc61299291e0af,0x9c571af5eb3afd528acbca7b6c3bc95b57acef07,14918000000000000000000
1,15697053,0x0e579b27cb445d20ffc127e2c185280f999490517c654c3b0ebc901429c1d20d,1665155771,0x2d5b31648305913d7e408a04e96d09b98471db61b3df677051d3ac4d285276df,150,0x8f48282e50b0210bd7c7dd69c54205e98b9ef5d9,0x11c24f0031b4c35e2e9353764edc61299291e0af,283,0x6b175474e89094c44da98b954eedeac495271d0f,0x5777d92f208679db4b9778590fa3cab3ac9e2168,0x11c24f0031b4c35e2e9353764edc61299291e0af,10000845828735901632166
1,15697053,0x0e579b27cb445d20ffc127e2c185280f999490517c654c3b0ebc901429c1d20d,1665155771,0x2d5b31648305913d7e408a04e96d09b98471db61b3df677051d3ac4d285276df,150,0x8f48282e50b0210bd7c7dd69c54205e98b9ef5d9,0x11c24f0031b4c35e2e9353764edc61299291e0af,284,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x11c24f0031b4c35e2e9353764edc61299291e0af,0x5777d92f208679db4b9778590fa3cab3ac9e2168,10002000000
1,15697072,0x8aca7f97ac294b265fdc9901de58c90470d4269831af76ecc2c0558f3fa73a9f,1665155999,0xbb7b33ceb800306feb45a13a6af06a68826fb8f0b81d6c4094c5303d28180fa0,365,0x8f48282e50b0210bd7c7dd69c54205e98b9ef5d9,0x11c24f0031b4c35e2e9353764edc61299291e0af,348,0x6b175474e89094c44da98b954eedeac495271d0f,0x48da0965ab2d2cbf1c17c09cfb5cbe67ad5b1406,0x11c24f0031b4c35e2e9353764edc61299291e0af,8405474117621991109587
1,15697072,0x8aca7f97ac294b265fdc9901de58c90470d4269831af76ecc2c0558f3fa73a9f,1665155999,0xbb7b33ceb800306feb45a13a6af06a68826fb8f0b81d6c4094c5303d28180fa0,365,0x8f48282e50b0210bd7c7dd69c54205e98b9ef5d9,0x11c24f0031b4c35e2e9353764edc61299291e0af,349,0xdac17f958d2ee523a2206206994597c13d831ec7,0x11c24f0031b4c35e2e9353764edc61299291e0af,0x48da0965ab2d2cbf1c17c09cfb5cbe67ad5b1406,8405000000
1,15697122,0xb3219dddc2eac94ec26731358c1bb4b96a7484f5e2bb1cbd25d4c6a18e418db9,1665156611,0xe9cdc5973b7c04e508fae2d7338a4929f5ee3235d3dc622a1896231004c6f540,151,0x8f48282e50b0210bd7c7dd69c54205e98b9ef5d9,0x11c24f0031b4c35e2e9353764edc61299291e0af,317,0x6b175474e89094c44da98b954eedeac495271d0f,0x11c24f0031b4c35e2e9353764edc61299291e0af,0xb1d12c0cfc5eda37e24f8255c3d86e0054dac40a,27100000000000000000000
1,15698458,0x469bf23b70f05c3ca27a6589c26ffd599a0cdf1c60b9e50d66410aced3533802,1665172883,0x570acc72a73b5e796da0bc80a17d10f5afcc1b5b2ba985b26ef94965ff8e4084,113,0x8f48282e50b0210bd7c7dd69c54205e98b9ef5d9,0x11c24f0031b4c35e2e9353764edc61299291e0af,363,0x6b175474e89094c44da98b954eedeac495271d0f,0x5777d92f208679db4b9778590fa3cab3ac9e2168,0x11c24f0031b4c35e2e9353764edc61299291e0af,15788890981332412914350
1,15698932,0x19bbe0d673d731dd5ed17bf367df2cf7cabe8274b65b4a4b13679613e6f2722a,1665178619,0x183920e962f4410f8db668d86a708bb5c2e4e50eea1a40fdd40172e5d7b00236,232,0x00b4c83e2bfeba4e01a8623d5c379258352a733b,0x11c24f0031b4c35e2e9353764edc61299291e0af,349,0x6b175474e89094c44da98b954eedeac495271d0f,0x11c24f0031b4c35e2e9353764edc61299291e0af,0xb1d12c0cfc5eda37e24f8255c3d86e0054dac40a,18195000000000000000000
